,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beganneft,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goi,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kapores,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lau,2,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
malochen,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schaskeln,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,2,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Schores,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuss,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,,,,,,2,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
