,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
acheln,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aschpes,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baldowern,,,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
beganneft,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boker,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dibbern / diwwern,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goi,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kapores,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lau,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malochen,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reibach / Rebbes,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
schaskeln,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schawwes,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schicker / beschickert,1,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Schmu,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,1,,
Schores,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuss,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toches / Dokes,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tof,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zores,1,,,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
